#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:48:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:52:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:56:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:00:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:04:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:08:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:12:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:16:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:20:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:24:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:28:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:32:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:36:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:40:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:44:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:48:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:52:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T15:56:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T16:00:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T16:04:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T16:08:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T16:12:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T16:16:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
